Name,Wiki Summary
R.C. Hammond,"R.C. Hammond (born 1979) is an American political strategist and communications director. He served as a communications adviser for Secretary of State Rex Tillerson, and as the press secretary to Newt Gingrich's 2012 presidential campaign."
Defense Intelligence Agency,"The Defense Intelligence Agency (DIA) is an intelligence agency and combat support agency of the United States federal government, specializing in defense and military intelligence.
A component of the Department of Defense (DoD) and the United States Intelligence Community (IC), DIA informs national civilian and defense policymakers about the military intentions and capabilities of foreign governments and non-state actors."
Fumio Kishida,"Fumio Kishida (岸田 文雄, Kishida Fumio, born 29 July 1957) is a Japanese politician serving as the Prime Minister of Japan and president of the Liberal Democratic Party (LDP) since 2021. A member of the House of Representatives, he previously served as Minister for Foreign Affairs from 2012 to 2017 and as acting Minister of Defense in 2017."
Joe Dunford,"Joseph Francis Dunford Jr. KBE AO MSC OMRI (born December 23, 1955) is a retired United States Marine Corps four-star general, who served as the 19th chairman of the Joint Chiefs of Staff from October 1, 2015 until September 30, 2019."
Yoshihide Suga,"Yoshihide Suga (菅 義偉, Suga Yoshihide, born 6 December 1948) is a Japanese politician who served as Prime Minister of Japan and President of the Liberal Democratic Party (LDP) from 2020 to 2021. He had served as Chief Cabinet Secretary during the second administration of Prime Minister Shinzo Abe from 2012 to 2020."
General. Lori Robinson,Lori Jean Robinson (born c. 1959) is a retired United States Air Force general who served as commander of the United States Northern Command (USNORTHCOM) and commander of the North American Aerospace Defense Command (NORAD) from May 2016 to May 2018.
Anthony Scaramucci,"Anthony Scaramucci ( SKARR-ə-MOO-chee; born January 6, 1964) is an American financier who served as the White House Director of Communications from July 21 to July 31, 2017.
Scaramucci worked at Goldman Sachs's investment banking, equities, and private wealth management divisions between 1989 and 1996."
Lee Cheol Woo,"Lee Cheol-uoo (이철우; born August 15, 1955), also spelled Lee Cheol-woo, is a member of the National Assembly of South Korea. He was vice-governor of the Gyeongsangbuk-do Province from  December 2005 to January 2008."
Jon Wolfsthal,"Jon Wolfsthal is an American national security consultant, government appointee, and columnist.


== Education ==
Wolfsthal graduated from the New Lincoln School in Manhattan and earned a Bachelor of Arts degree in Political Science from Emory University in 1988."
Unnamed Congress Members,"The Indian state of Maharashtra has a bicameral legislature, comprising two houses. The lower house, known as the Legislative Assembly (""Vidhan Sabha"" in Marathi), is directly elected by the people and is the more powerful of the two houses."
Foreign Affairs Committee,"The United States House Committee on Foreign Affairs, also known as the House Foreign Affairs Committee, is a standing committee of the U.S. House of Representatives with jurisdiction over bills and investigations concerning the foreign affairs of the United States. Since 2021, the chair of the Foreign Affairs Committee has been Gregory Meeks of New York."
Steny Hoyer,"Steny Hamilton Hoyer ( STENN-ee HOY-ər; born June 14, 1939) is an American politician and attorney serving as the U.S. representative for Maryland's 5th congressional district since 1981 and as House Majority Leader since 2019. A Democrat, Hoyer was first elected in a special election on May 19, 1981."
Anthony Ruggiero,"Lefty Ruggiero (born Benjamin Ruggiero; April 19, 1926 – November 24, 1994) was an American mobster in the Bonanno crime family. He is well known for his friendship and mentorship of FBI undercover agent Joseph D. Pistone."
Pacific U.S. Command,"United States Indo-Pacific Command (USINDOPACOM) is a unified combatant command of the United States Armed Forces responsible for the Indo-Pacific region.
Formerly known as United States Pacific Command (USPACOM) since its inception, the command was renamed to U.S. Indo-Pacific Command on 30 May 2018, in recognition of the increasing connectivity between the Indian and Pacific oceans.It is the oldest and largest of the unified combatant commands."
Department of US Justice,"The United States Department of Justice (DOJ), also known as the Justice Department, is a federal executive department of the United States government tasked with  the enforcement of federal law and administration of justice in the United States. It is equivalent to the justice or interior ministries of other countries."
Juan Zarate,"Juan Carlos Zarate is an American attorney and security advisor who served as the deputy national security advisor for combating terrorism during the George W. Bush administration. He is the chairman and co-founder of the Financial Integrity Network, a Washington, D.C.-based consulting firm, and as senior adviser at the Center for Strategic and International Studies."
Bruce Klinger,"Sherlock Holmes () is a fictional detective created by British author Sir Arthur Conan Doyle. Referring to himself as a ""consulting detective"" in the stories, Holmes is known for his proficiency with observation, deduction, forensic science and logical reasoning that borders on the fantastic, which he employs when investigating cases for a wide variety of clients, including Scotland Yard."
Nuclear Age Peace Foundation,"The Nuclear Age Peace Foundation (NAPF) is a non-profit, non-partisan international education and advocacy organization. Founded in 1982, NAPF is composed of individuals and organizations from all over the world."
Bonnie Docherty,"The Harvard Environmental Law Review is a student-run law review published at Harvard Law School. The journal publishes articles, notes, and comments on subjects relating to environmental law, land-use law, and the regulation of natural resources."
Bonnie S. Glaser,Bonnie S. Glaser is the director of the Asia Program at the German Marshall Fund of the United States. She was previously a senior adviser for Asia and the director of the China Power Project at the Center for Strategic and International Studies.
Statement Revolutionary Guard,"The Islamic Revolutionary Guard Corps (IRGC; Persian: سپاه پاسداران انقلاب اسلامی, romanized: Sepâh-e Pâsdârân-e Enghelâb-e Eslâmi, lit. 'Army of Guardians of the Islamic Revolution' or Sepâh for short) is a branch of the Iranian Armed Forces, founded after the Iranian Revolution on 22 April 1979 by order of Ayatollah Ruhollah Khomeini. Whereas the Iranian Army defends Iranian borders and maintains internal order, according to the Iranian constitution, the Revolutionary Guard is intended to protect the country's Islamic republic political system."
Wee Seung Ho,"Yoo Seung-ho (Korean: 유승호; Hanja: 俞承豪; born August 17, 1993) is a South Korean actor who rose to fame as a child actor in the film The Way Home (2002). Since then, he has starred in many television series and movie films as a child and teenager."
Jeremy Corbyn,"Jeremy Bernard Corbyn (; born 26 May 1949) is a British politician who served as Leader of the Labour Party and Leader of the Opposition from 2015 to 2020. A Member of Parliament (MP) for Islington North since 1983, Corbyn is on the political left of the Labour Party and identifies as a socialist.Born in Chippenham, Wiltshire, and raised in Wiltshire and Shropshire, Corbyn joined the Labour Party as a teenager."
Rodrigo Duterte,"Rodrigo Roa Duterte  (; Tagalog: [roˈdɾigo ɾowa dʊˈtɛɾtɛ] (listen); born March 28, 1945), also known as Digong, Rody and by the initials PRRD, is a Filipino politician who is the 16th and incumbent president of the Philippines. He is the chairperson of PDP–Laban, the ruling political party in the Philippines."
Security Council,"The United Nations Security Council (UNSC) is one of the six principal organs of the United Nations (UN), charged with ensuring international peace and security, recommending the admission of new UN members to the General Assembly, and approving any changes to the UN Charter. Its powers include establishing peacekeeping operations, enacting international sanctions, and authorizing military action."
Media North Korea,The mass media in North Korea is amongst the most strictly controlled in the world.  The constitution nominally provides for freedom of speech and the press.
Kim Dong-yub,"Lee Dong-gun (Korean: 이동건, Korean pronunciation: [i.doŋgʌn]; born 26 July 1980) is a South Korean actor and singer.


== Career ==
Lee Dong-gun made his debut in the entertainment industry in 1998 as a singer, but he would later gain fame as an actor, starring in television dramas such as Sweet 18, Lovers in Paris, and Stained Glass.Lee took a break from acting in 2005, claiming he felt overwhelmed with his workload in both television and film."
Du Xiaojun,"The Last Goodbye to Mama (Chinese: 您好！母亲大人) is a 2021 Chinese drama television series directed by Cao Dun and Jing Chong, and starring Dong Jie, Yin Fang, Lu Fangsheng and Wang Churan."
Seok-hyun Hong,"Hong Seok-hyun (born October 20, 1949) is a noted figure in South Korean media industry. He is the chairman of JoongAng Holdings, Korea Peace Foundation and Korea Baduk Association."
Hua Chunying,Hua Chunying (Chinese: 华春莹; born 24 April 1970) is a Chinese official and former diplomat serving as spokesperson for the Ministry of Foreign Affairs of the People's Republic of China since 2012 and as the Assistant Minister of Foreign Affairs since 2021. Hua was the fifth spokeswoman and 27th spokesperson since the position was established in the ministry in 1983.
Lee Duk-haeng,"NCT Dream (Korean: 엔시티 드림) is the third sub-unit of the South Korean boy band NCT, formed by SM Entertainment in 2016. Initially intended to be the teenaged unit of NCT, they re-branded in 2020, shifting away from their youthful image once all members became legal adults in South Korea."
Yoichi Funabashi,"The Fukushima nuclear disaster was a 2011 nuclear accident at the Fukushima Daiichi Nuclear Power Plant in Ōkuma, Fukushima, Japan. The proximate cause of the disaster was the 2011 Tōhoku earthquake and tsunami that occurred 11 March 2011."
Tomomi Inada,"Tomomi Inada (稲田 朋美, Inada Tomomi, born 20 February 1959) is a Japanese lawyer and politician serving as a member of the Japanese House of Representatives, representing the 1st Fukui Prefecture since September 2005. She previously served as the 14th Japanese Minister of Defense from August 2016 to July 2017, resigning in response to a cover up scandal within the Japanese Ministry of Defense."
Park Geun-hye,"Park Geun-hye (Korean: 박근혜; Hanja: 朴槿惠; RR: Bak Geun(-)hye; IPA: [pak‿k͈ɯn.hje]; often in English ; born 2 February 1952) is a South Korean politician who served as the 11th president of South Korea from 2013 until 2017, when she was impeached and a year later convicted on related corruption charges.
Park was the first woman to be elected president, and also the first female president popularly elected as head of state in East Asia."
Jong-seok Lee,"Lee Jong-suk (Korean: 이종석, born September 14, 1989) is a South Korean actor and model. He debuted in 2005 as a runway model, becoming the youngest male model ever to participate in Seoul Fashion Week."
Hong Joon-pyo,"Hong Joon-pyo (born 20 November 1953), also spelled as Hong Jun-pyo, is a South Korean politician and former prosecutor who serves as a member of the National Assembly in his fifth term. He was the governor of South Gyeongsang Province, and the party leader of the conservative Grand National Party in 2011 and its successor incarnation the Liberty Korea Party from 2017 to 2018."
Sim Sang-jung,"Sim Sang-jung (born 20 February 1959) is a South Korean politician and labor rights activist. She was one of the five major presidential candidates in the 2017 South Korean presidential election, running as the Justice Party's nominee."
Hillary Rodham Clinton,"Hillary Diane Clinton (née Rodham; born October 26, 1947) is an American politician, diplomat, lawyer, writer, and public speaker who served as the 67th United States secretary of state from 2009 to 2013, as a United States senator from New York from 2001 to 2009, and as first lady of the United States from 1993 to 2001 as the wife of President Bill Clinton. A member of the Democratic Party, she was the party's nominee for president in the 2016 presidential election, becoming the first woman to win a presidential nomination by a major U.S. political party."
Statement GAO,"Godfrey Gao (Chinese: 高以翔; pinyin: Gāo Yǐxiáng; 22 September 1984 – 27 November 2019) was a Taiwanese-Canadian model and actor. Described as Asia's first male supermodel, Gao was the first male Asian model to appear in a campaign for Louis Vuitton."
Brad Sherman,"Bradley James Sherman (born October 24, 1954) is an American accountant and politician serving as the U.S. representative for California's 30th congressional district since 2013. A member of the Democratic Party, he first entered Congress in 1997; Sherman represented California's 24th congressional district for three terms and California's 27th congressional district for five terms."
Statement Mainichi newspaper,"The Mainichi Shimbun (毎日新聞, literally ""Daily Newspaper"") is one of the major newspapers in Japan, published by The Mainichi Newspapers Co.In addition to the Mainichi Shimbun, which is printed twice a day in several local editions, Mainichi also operates an English language news website called The Mainichi (previously Mainichi Daily News), and publishes a bilingual news magazine, Mainichi Weekly. It also publishes paperbacks, books and other magazines, including a weekly news magazine, Sunday Mainichi."
Han Song Ryol,"Han Song-ryol (Korean pronunciation: [han.sʌŋ.ɾjʌl], born 17 June 1954) is a Vice Foreign Minister at North Korea's Ministry of Foreign Affairs.
Previously, he served as the deputy chief of North Korea's mission to the United Nations from 2002 to 2006."
Dean Chengdu,"Shishi High School (simplified Chinese: 石室中学; traditional Chinese: 石室中學; pinyin: Shíshì Zhōngxúe) is a state secondary school in Chengdu, Sichuan, China. It stands on the site of the first public school ever built, built in 143–141 BC by the Han dynasty governor Qi Huang (文翁)."
Hong-kyun Kim,"Kim Hong-kyun is the Special Representative for Korean Peninsula Peace and Security Affairs for the Ministry of Foreign Affairs of the Republic of Korea.On April 10, 2017, Wu Dawei, the Chinese envoy for international efforts to end North Korea's nuclear weapons program met with Kim Hong-Kyun in Seoul, to discuss the issue in detail."
Thom Mason,"Thomas Mason is a Canadian-American condensed-matter physicist who serves as the director of Los Alamos National Laboratory. Prior to this appointment, he had been an executive at Battelle Memorial Institute from 2017–2018, and the director of Oak Ridge National Laboratory from 2007–2017."
Statement NNSA,"The B61 nuclear bomb is the primary thermonuclear gravity bomb in the United States Enduring Stockpile following the end of the Cold War. It is a low to intermediate-yield strategic and tactical nuclear weapon featuring a two-stage radiation implosion design.The B61 is of the variable yield (""dial-a-yield"" in informal military jargon) design with a yield of 0.3 to 340 kilotons in its various mods."
Joe Biden OLD,"Joe Biden, the 46th and current president of the United States, has family members who are prominent in law, education, activism and politics. Biden's immediate family became the first family of the United States on his inauguration on January 20, 2021."
Curtis M. Scaparrotti,"Curtis Michael ""Mike"" Scaparrotti (born March 5, 1956) is a retired United States Army four-star general who last served as the Commander of United States European Command. He concurrently served as NATO's Supreme Allied Commander Europe."
Brad Glosserman,"The Constitutional Democratic Party of Japan (立憲民主党, Rikken-minshutō), commonly abbreviated to CDP, CDPJ or Minshutō (民主党), is a liberal political party in Japan.It was founded in October 2017 as a split from the Democratic Party ahead of the 2017 general election. In late 2020, the party was re-founded following a merger with majorities of the Democratic Party for the People and the Social Democratic Party as well as some independent lawmakers."
Hiroshi Imazu,"Hiroshi Imazu (今津 寛, Imazu Hiroshi, born September 30, 1946) is a Japanese politician of the Liberal Democratic Party, a former member of the House of Representatives in the Diet (national legislature). A native of Asahikawa on Hokkaido and graduate of Chuo University, he was elected to the first of his two terms in the city assembly of Asahikawa in 1975, to the first of his two terms in the Hokkaido Prefectural Assembly in 1983 and finally to the House of Representatives for the first time in 1990."
Gen Nakatani,"Gen Nakatani (中谷 元, Nakatani Gen, born 14 October 1957) is a Japanese politician who was Director General of the Japan Defense Agency (now Japan Ministry of Defense) in the first cabinet of former Prime Minister Junichiro Koizumi in 2001-2002 and was appointed as the Minister of Defense by former Prime Minister Shinzo Abe in 2014.Nakatani was born in Kōchi and attended the National Defense Academy of Japan. He served for four years as a commissioned officer in the Japan Ground Self-Defense Force (20th Infantry Regiment and Airborne Training Unit)."
Of Foreign Affairs Japanese Ministry,"The Ministry of Foreign Affairs (外務省, Gaimu-shō) is an  executive department of the Government of Japan, and is responsible for the country's foreign policy and international relations.
The ministry was established by the second term of the third article of the National Government Organization Act, and the Ministry of Foreign Affairs Establishment Act."
Cho Tae-yul,"Cho Tae-yong (born 1956) is a South Korean career diplomat with over three decades of experience who has served as South Korea's Deputy National Security Advisor since October 2015.Cho has extensive experience in a range of high-level diplomatic assignments dealing with the United States and North Korea.  In November 2016, he represented South Korea in talks with Michael Flynn and other members of then-U.S. President-elect Donald Trump's foreign policy team on North Korea."
Koro Bessho,"Koro Bessho (別所 浩郎, Bessho Kōrō, born 5 February 1953) is a diplomat of Japan who has served as the Japanese Permanent Representative to the United Nations since 10 June 2016, and as President of the United Nations Security Council in July 2016 and December 2017.


== Career ==
Bessho was born in Hyōgo Prefecture and lived in New Zealand as an elementary and junior high school student."
Command U.S. Strategic,"United States Strategic Command (USSTRATCOM) is one of the eleven unified combatant commands in the United States Department of Defense. Headquartered at Offutt Air Force Base, Nebraska, USSTRATCOM is responsible for strategic deterrence, global strike, and operating the Defense Department's Global Information Grid."
Stephan Haggard,Stephan Haggard is the Lawrence and Sallye Krause Professor of Korea-Pacific Studies at the School of Global Policy and Strategy and distinguished professor of political scientist specializing in comparative politics at the University of California San Diego. He received his Ph.D. from the University of California Berkeley (1983) and taught in the Government Department at Harvard (1983-1992) before joining the faculty at UC San Diego.
Zhu Feng,"Zhu Feng (Chinese: 朱楓; pinyin: Zhū Fēng; Wade–Giles: Chu Feng; 1905–1950) was a Communist Chinese intelligence agent who worked undercover in Taiwan during 1949 gathering information on the Government of the Republic of China (ROC). She completed several missions, successfully transmitting data on military layouts before being arrested in 1950 and subsequently executed."
Adel Al-Jubeir,"Adel bin Ahmed Al-Jubeir (Arabic: عادل بن أحمد الجبير; born 1 February 1962) is a Saudi diplomat who is the former Saudi Minister of Foreign Affairs and the current Saudi Minister of State for Foreign Affairs. He is the second person not belonging to the House of Saud to hold the office, after Ibrahim bin Abdullah Al Suwaiyel."
Joseph I. Lieberman,"Joseph Isadore Lieberman (; born February 24, 1942) is an American politician, lobbyist, and attorney who served as a United States senator from Connecticut from 1989 to 2013. A former member of the Democratic Party, he was its nominee for Vice President of the United States in the 2000 election."
Joe Courtney,"Joseph David Courtney (born April 6, 1953) is an American lawyer and politician serving as the U.S. representative for Connecticut's 2nd congressional district since 2007. His district encompasses most of the eastern third of the state, including Norwich and New London."
Jim Himes,"James Andrew Himes (born July 5, 1966) is an American businessman and politician serving as the U.S. representative for Connecticut's 4th congressional district since 2009. A member of the Democratic Party, he chaired the New Democrat Coalition in the 115th Congress (2017–2019).Himes's district includes most of the southwestern corner of the state and is largely coextensive with the Connecticut side of the New York metropolitan area."
Ali-Akbar Velayati,"Ali Akbar Velayati (Persian: علی‌اکبر ولایتی English pronunciation ; born 24 June 1945, Tehran) is an Iranian conservative politician and physician. Velayati is a distinguished professor at Shahid Beheshti University of Medical Sciences, senior adviser to the Supreme Leader in international affairs and head of the board of founders and the board of trustees of the Islamic Azad University."
Hwang Kyo-ahn,"Hwang Kyo-ahn  (Korean: 황교안; Hanja: 黃敎安; RR: Hwang Gyo-an; born 15 April 1957) is a South Korean politician and prosecutor who served as acting president of South Korea from 9 December 2016 to 10 May 2017 and the 40th Prime Minister of South Korea from 18 June 2015 to 11 May 2017.
Hwang served as Minister of Justice from 2013 to 2015 under President Park Geun-hye."
John Tierney,"John F. Tierney (born September 18, 1951) is an American politician who served as a U.S. Representative from Massachusetts from 1997 to 2015. He is a Democrat who represented the state's 6th district, which includes the state's North Shore and Cape Ann."
Unnamed Republican,"Miles Taylor (born 1986/1987) is an American former government official in the George W. Bush and Trump administrations. He was a Trump administration appointee who served in the United States Department of Homeland Security from 2017 to 2019, including as chief of staff of the Department of Homeland Security (DHS) during the tenure of Secretary Kirstjen Nielsen and Acting Secretary Kevin McAleenan."
Min-Koo Han,"Inspector Koo (Korean: 구경이; RR: Gu Gyeong-i) is a 2021 South Korean television series starring Lee Young-ae in the title role, alongside Kim Hye-jun, Kim Hae-sook, Kwak Sun-young, Baek Sung-chul and Jo Hyun-chul. The series is about the battle of a former police officer against a female college student who is a serial killer."
Aaron David Miller,"Aaron David Miller (born March 25, 1949) is an American Middle East analyst, author, and negotiator. He is a senior fellow at the Carnegie Endowment for International Peace, focusing on U.S. foreign policy."
Kelsey Davenport,"The Treaty on the Non-Proliferation of Nuclear Weapons, commonly known as the Non-Proliferation Treaty or NPT, is an international treaty whose objective is to prevent the spread of nuclear weapons and weapons technology, to promote cooperation in the peaceful uses of nuclear energy, and to further the goal of achieving nuclear disarmament and general and complete disarmament. Between 1965 and 1968, the treaty was negotiated by the Eighteen Nation Committee on Disarmament, a United Nations-sponsored organization based in Geneva, Switzerland."
Rob Portman,"Robert Jones Portman (born December 19, 1955) is an American attorney and politician serving as the junior United States senator for Ohio. A Republican, Portman has served as a U.S. representative, the 14th United States trade representative, and the 35th director of the Office of Management and Budget (OMB)."
Kellyanne Conway,"Kellyanne Elizabeth Conway (née Fitzpatrick; born January 20, 1967) is an American political consultant and pollster, who served as Senior Counselor to the President in the administration of Donald Trump from 2017 to 2020.She was previously Trump's campaign manager, having been appointed in August 2016; Conway is the first woman to have run a successful U.S. presidential campaign. She has previously held roles as campaign manager and strategist in the Republican Party, and was formerly president and CEO of the Polling Company/WomanTrend.Conway lived in Trump World Tower from 2001 to 2008 and conducted private polls for Trump in late 2013 when he was considering running for governor of New York."
Patrick Hughes,"Patrick Hughes (born 1978) is an Australian film director and screenwriter.


== Early life ==
Hughes was born in Black Rock, a suburb of Melbourne."
Unnamed Obama White House Official OLD,"Barack Obama's tenure as the 44th president of the United States began with his first inauguration on January 20, 2009, and ended on January 20, 2017. Obama, a Democrat from Illinois, took office following a decisive victory over Republican nominee John McCain in the 2008 presidential election."
Ernest Moniz OLD,"Joseph Robinette Biden Jr. ( BY-dən; born November 20, 1942) is an American politician who is the 46th and current president of the United States."
Michael McKenna,"Michael McKenna (born 4 January 1991) is a Scottish footballer who plays as a midfielder for Arbroath.


== Career ==
Born in Edinburgh, McKenna spent time in Hibernian's youth academy before joining Musselburgh Athletic in 2012."
News Agency RIA Novosti,"RIA Novosti (Russian: РИА Новости), sometimes referred to as RIAN (РИАН) or RIA (РИА) is a Russian state-owned domestic news agency. On 9 December 2013 by a decree of Vladimir Putin it was liquidated and its assets and workforce were transferred to the newly created Rossiya Segodnya agency."
Konstantin Kosachev,Konstantin Iosifovich Kosachev (Russian: Константин Иосифович Косачев; born 17 September 1962) is a Soviet and Russian politician and diplomat. He is a senator at the Federation Council (Russian parliament's upper house) and chairs its Foreign Affairs Committee.
Leonid Slutsky,"Leonid Eduardovich Slutsky (Russian: Леонид Эдуардович Слуцкий, also transliterated Leonid Slutskii or Slutskiy; born January 4, 1968) is a member of the State Duma of Russia, a member of the Liberal Democratic Party of Russia party.  In the 6th State Duma, he was the Chairman of the State Duma Committee on the Commonwealth of Independent States, Eurasian Integration and Relations with Compatriots."
Jeremi Suri,"Jeremi Suri is an American historian, and the Mack Brown Distinguished Chair for Leadership in Global Affairs, at University of Texas at Austin.


== Life ==
He graduated from Stanford University, Ohio University, and Yale University.Suri has received many prizes for his teaching and research."
Barack Obama OLD,"Barack Hussein Obama II ( (listen) bə-RAHK hoo-SAYN oh-BAH-mə; born August 4, 1961) is an American politician who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, Obama was the first African-American  president of the United States."
Dennis Ross,"Dennis B. Ross (born November 26, 1948) is an American diplomat and author. He has served as the Director of Policy Planning in the State Department under President George H. W. Bush, the special Middle East coordinator under President Bill Clinton, and was a special adviser for the Persian Gulf and Southwest Asia (which includes Iran) to the former Secretary of State Hillary Clinton."
Eliot Engel,"Eliot Lance Engel (; born February 18, 1947) is an American politician who served as a U.S. representative from New York from 1989 to 2021. A member of the Democratic Party, he represented a district covering portions of the north Bronx and southern Westchester County."
Newt Gingrich,"Newton Leroy Gingrich (; né McPherson; born June 17, 1943) is an American politician and author who served as the 50th speaker of the United States House of Representatives from 1995 to 1999. A member of the Republican Party, he was the U.S. representative for Georgia's 6th congressional district serving north Atlanta and nearby areas from 1979 until his resignation in 1999."
Jason Miller,"Jason Nicholas Miller (born December 24, 1980) best known as Mayhem Miller is an American mixed martial arts fighter and TV host. Miller coaches fighters in Irvine, California at Mayhem Martial Arts and has trained extensively with Kings MMA in Huntington Beach, California."
Ronald Reagan,"Ronald Wilson Reagan ( RAY-gən; February 6, 1911 – June 5, 2004) was an American politician who served as the 40th president of the United States from 1981 to 1989. A member of the Republican Party, he previously served as the 33rd governor of California from 1967 to 1975 after a career as a Hollywood actor and union leader."
Official Poland,"Poland, officially the Republic of Poland, is a country in Central Europe. It is divided into 16 administrative provinces called voivodeships, covering an area of 312,696 km2 (120,733 sq mi)."
Stephen Lynch,"Stephen Andrew Lynch (born July 28, 1971) is an American comedian, musician and actor who is known for his songs mocking daily life and popular culture. Lynch has released four studio albums and four live albums along with a live DVD. He has appeared in two Comedy Central Presents specials and starred in the Broadway adaptation of The Wedding Singer."
Czeslaw Mroczek,"Czesław Mroczek (born July 20, 1964 in Kałuszyn) is a Polish politician. He was elected to the Sejm on September 25, 2005 getting 8,311 votes in 18 Siedlce district, candidating from the Civic Platform list."
Mark Dubowitz,"Mark Dubowitz (born 11 September 1968) is a South African-born Canadian-American attorney and former venture capitalist, currently serving as CEO of the Foundation for Defense of Democracies, a non-profit think-tank and lobbying institute that advocates for hawkish foreign policy. He is a proponent of sanctions against Iran to escalate a confrontation with Iran and was a leading critic of the Iran nuclear agreement, officially called the Joint Comprehensive Plan of Action."
John Kirby OLD,"Vanessa Nuala Kirby (born 18 April 1988) is a British actress. She is the recipient of several accolades, which include a British Academy Television Award, a Volpi Cup Award, in addition to nominations for an Academy Award, a Golden Globe Award, a Primetime Emmy Award and three Screen Actors Guild Awards."
Sara Vakhshouri,"The Institute of World Politics (IWP) is a graduate school of national security, intelligence, and international affairs in Washington, DC and Reston, VA. Founded in 1990, it offers courses related to intelligence, national security, and diplomatic communities.


== History ==
IWP was founded in 1990 by John Lenczowski, the former director of European and Soviet Affairs at the United States National Security Council during the Reagan administration."
Wendy Sherman,"Wendy Ruth Sherman (born June 7, 1949) is an American diplomat who is serving as the United States Deputy Secretary of State since April 2021. She was a professor of the practice of public leadership and director of the Center for Public Leadership at the Harvard Kennedy School, a senior counselor at Albright Stonebridge Group, and a senior fellow at Harvard Kennedy School's Belfer Center for Science and International Affairs.Sherman, a social worker, served as the director of EMILY's list, the director of Maryland's office of child welfare, and the founding president of the Fannie Mae Foundation."
Ban Ki-moon,"Ban Ki-moon (Korean: 반기문; Hanja: 潘基文; Korean pronunciation: [ban.ɡi.mun]; born 13 June 1944) is a South Korean politician and diplomat who served as the eighth Secretary-General of the United Nations from January 2007 to December 2016. Before becoming the Secretary-General, Ban was a career diplomat in South Korea's Ministry of Foreign Affairs and in the United Nations."
Amir Ali Hajizadeh,"Amir Ali Hajizadeh (Persian: امیرعلی حاجی‌زاده; born 28 February 1962 in Tehran) is commander of Aerospace Force of the Islamic Revolutionary Guard Corps since October 2009.During Eghtedar-e Velayat war game, on 8 March 2016, Hajizadeh said: ""the reason we designed our missiles with a range of 2,000 km is to be able to hit our enemies from a safe distance.""


== U.S. sanctions ==
On 24 June 2019, the U.S. Treasury Department sanctioned him, freezing any of his U.S. assets and banning U.S. persons from doing business with him."
Ali Vaez,"Mohamad Ali Vaez (born April 5, 1979), is an American professional wrestler, who is best known for his time spent in Ohio Valley Wrestling and Global Force Wrestling.


== Professional wrestling career ==


=== Global Force Wrestling (2015) ===
On July 24, 2015, Vaez made his Global Force Wrestling (GFW) debut under the ring name Ali Akbar as part of the GFW Tag Team Championship Tournament during the GFW Amped tapings as part of the tag team The Akbars with Omar Akbar losing to The Bollywood Boyz in the quarterfinals.On August 14, 2015, Akbar teamed with Cliff Compton and Jason Kincaid in a losing effort against Brad Attitude, Peter Kaasa and Vordell Walker during the GFW Grand Slam Tour in Winston-Salem, North Carolina.On August 21, 2015, The Akbars teamed with PJ Black during the GFW Amped tapings defeating the team of Sonjay Dutt and Los Luchas (Phoenix Star and Zokre)On August 28 and 29, 2015 during the GFW Grand Slam Tour in Harrisburg, Pennsylvania and Richmond, Virginia, Akbar teamed with Seiya Sanada in two on one handicap matches against Doc Gallows in a losing effort on both nights."
Mohammad Ali Shabani,"Ali Shabani Bengar (Persian: علی شعبانی بنگر, born 18 May 1995) is an Iranian freestyle wrestler who competes at 97 kilograms. Shabani has claimed the 2021 Asian Continental Championship as well as a bronze medal from the 2018 U23 World Championships."
IranPoll.com,"This page lists public opinion polls in connection with the 2017 Iranian presidential election, which were held on 19 May 2017, with a run-off the week after if no candidate secures an absolute majority of the vote in the first round.


== Polls ==


=== 2017 ===


==== Iran-based pollsters ====
According to the Al-Monitor, ""it’s not unusual in Iran for news outlets to publish reports of nonscientific surveys."
Ali Akbar Velayati,"Ali Akbar Velayati (Persian: علی‌اکبر ولایتی English pronunciation ; born 24 June 1945, Tehran) is an Iranian conservative politician and physician. Velayati is a distinguished professor at Shahid Beheshti University of Medical Sciences, senior adviser to the Supreme Leader in international affairs and head of the board of founders and the board of trustees of the Islamic Azad University."
Ayatollah Ali Khamenei,"Sayyid Ali Hosseini Khamenei (Persian: سید علی حسینی خامنه‌ای, pronounced [ʔæˈliː hosejˈniː xɒːmeneˈʔiː] (listen); born 19 April 1939) is a Twelver Shia Marja' and the second and current supreme leader of Iran, in office since 1989. He was previously the third president of Iran from 1981 to 1989."
Center for Int. Studies Statement,"The Middlebury Institute of International Studies at Monterey (MIIS), formerly known as the Monterey Institute of International Studies, is an American graduate school of Middlebury College, a private college in Middlebury, Vermont.
Established in 1955, the school provides instruction on a campus in Monterey, California."
Yukiya Amano,"Yukiya Amano (Japanese: 天野 之弥, Hepburn: Amano Yukiya, 9 May 1947 – 18 July 2019) was a Japanese diplomat and the Director General of the International Atomic Energy Agency (IAEA) (July 2009 – 2019). Amano previously served as an international civil servant for the United Nations and its subdivisions."
